ed_clean,YES,NO,reported,ad,ed,percentage,passed
29051,415,144,57.14%,29,51,74.23971377459749,TRUE
29052,610,143,99.00%,29,52,81.00929614873837,TRUE
29053,246,89,57.14%,29,53,73.43283582089552,TRUE
29054,721,238,99.00%,29,54,75.18248175182481,TRUE
29055,699,234,99.00%,29,55,74.91961414790997,TRUE
29056,859,244,99.00%,29,56,77.87851314596554,TRUE
29057,449,130,99.00%,29,57,77.54749568221071,TRUE
29058,1046,405,99.00%,29,58,72.0882150241213,TRUE
29059,438,167,99.00%,29,59,72.39669421487604,TRUE
29060,1022,364,99.00%,29,60,73.73737373737373,TRUE
29061,55,24,99.00%,29,61,69.62025316455697,TRUE
29062,0,0,99.00%,29,62,NA,FALSE
29063,787,131,99.00%,29,63,85.72984749455338,TRUE
29064,91,32,99.00%,29,64,73.98373983739837,TRUE
29065,605,194,99.00%,29,65,75.71964956195244,TRUE
29066,727,314,99.00%,29,66,69.83669548511047,TRUE
30001,658,859,99.00%,30,1,43.37508239947264,FALSE
30002,118,111,85.71%,30,2,51.52838427947598,TRUE
30003,267,106,99.00%,30,3,71.58176943699732,TRUE
30004,608,312,87.50%,30,4,66.08695652173913,TRUE
30005,648,850,99.00%,30,5,43.257676902536716,FALSE
30006,633,573,99.00%,30,6,52.48756218905473,TRUE
30007,442,407,99.00%,30,7,52.06124852767962,TRUE
30008,702,817,99.00%,30,8,46.214614878209346,FALSE
30009,444,531,99.00%,30,9,45.53846153846154,FALSE
30010,793,875,99.00%,30,10,47.541966426858515,FALSE
30011,658,505,99.00%,30,11,56.57781599312124,TRUE
30012,369,236,99.00%,30,12,60.99173553719008,TRUE
30013,1222,891,75.00%,30,13,57.83246568859441,TRUE
30014,137,52,99.00%,30,14,72.4867724867725,TRUE
30015,587,246,99.00%,30,15,70.46818727490997,TRUE
30016,876,727,99.00%,30,16,54.64753587024329,TRUE
30017,235,282,99.00%,30,17,45.45454545454545,FALSE
